# PhotoID	X	Y	Z	r11	r12	r13	r21	r22	r23	r31	r32	r33
DJI_0282	252406.09900000	6149601.28440000	47.56150000	-0.897705887989862	0.440185153512927	-0.019004454612906	0.437237622907500	0.884720837910957	-0.161531111803064	-0.054289960236975	-0.153316892718760	-0.986684615581155
DJI_0283	252403.78780000	6149596.67180000	47.43110000	-0.897447879927306	0.440708622367187	-0.019058147475575	0.437528617641773	0.883806938278544	-0.165692500117492	-0.056178390493706	-0.157038867870099	-0.985993297350248
DJI_0284	252401.43680000	6149591.91700000	47.35150000	-0.897368047708027	0.440909915882993	-0.018139267590935	0.437370545414841	0.883198887704569	-0.169312523934107	-0.058630989725635	-0.159869230414941	-0.985395471985906
DJI_0285	252399.28300000	6149587.58280000	47.33750000	-0.897579800420925	0.440580673290779	-0.015465193143864	0.436408816013703	0.883018490798401	-0.172701158692210	-0.062432741264910	-0.161762218180753	-0.984852850728164
DJI_0286	252397.16020000	6149582.96490000	47.34940000	-0.897538072438207	0.440675305192071	-0.015188282252574	0.436167672562175	0.882250675335961	-0.177176486252936	-0.064677429877845	-0.165647279673157	-0.984061892769596
DJI_0287	252394.92050000	6149578.32890000	47.28080000	-0.896959945751516	0.441802006479351	-0.016548195921526	0.437184687831791	0.880769708973925	-0.181973263089411	-0.065821003052651	-0.170457346057036	-0.983164222666963
DJI_0293	252383.10150000	6149582.22630000	47.43780000	0.927452575392459	-0.373793945703945	-0.010478862198291	-0.369168619539846	-0.910794329647916	-0.184846475293006	0.059550405077874	0.175304806654809	-0.982711541612686
DJI_0294	252385.31100000	6149586.85350000	47.23620000	0.924447250168610	-0.381248255115968	-0.006859273046407	-0.375677642103609	-0.907564487531901	-0.187598001573657	0.065296178135996	0.176001332216512	-0.982221940387632
DJI_0295	252387.67930000	6149591.70750000	47.10430000	0.922789225902966	-0.385285909168329	-0.003848734043701	-0.378945659118471	-0.905705957587176	-0.189991857263312	0.069715364107726	0.176780899950841	-0.981778122296427
DJI_0296	252389.91900000	6149596.27470000	47.00410000	0.921767094716794	-0.387739708649740	-0.001827958854973	-0.380746085113525	-0.904229533336686	-0.193394337332930	0.073333769629590	0.178960524635834	-0.981119406012327
DJI_0297	252392.36960000	6149601.10870000	46.90170000	0.921050888774371	-0.389442094967631	-0.000339050385822	-0.381804728172442	-0.902815859340457	-0.197860237714707	0.076749005420974	0.182368798840635	-0.980230182853148
DJI_0298	252394.50560000	6149605.50190000	46.88630000	0.920623164106508	-0.390451869431737	0.000572160626653	-0.382352014046864	-0.901820001149499	-0.201314735876498	0.079119700864121	0.185116242355929	-0.979526441578375
DJI_0332	252383.32570000	6149612.21560000	47.92810000	-0.894329465638299	0.447280341435852	0.010728609236190	0.439772351986418	0.883223301175173	-0.162840040191480	-0.082310906442879	-0.140914500411623	-0.986594150729820
DJI_0333	252381.09770000	6149607.60760000	47.80400000	-0.893856892841730	0.448210206885805	0.011290064778930	0.440275510568330	0.882234285476353	-0.166793705887918	-0.084719123656495	-0.144118964655639	-0.985927174852921
DJI_0334	252378.87130000	6149603.02980000	47.64590000	-0.893583849471348	0.448800813154147	0.009259269741427	0.440790104107745	0.881162968338715	-0.171043583186240	-0.084923424828788	-0.148760389017648	-0.985219954413565
DJI_0335	252376.63750000	6149598.48420000	47.53760000	-0.893026035984006	0.449893799380955	0.010003416079566	0.441489671661291	0.880215053886376	-0.174092873858205	-0.087128461888740	-0.151053064154198	-0.984678426156748
DJI_0336	252374.50270000	6149593.99430000	47.43410000	-0.892419761777590	0.451082956609825	0.010542060755252	0.442210594241567	0.879031274115558	-0.178195986114442	-0.089647973369999	-0.154363808526862	-0.983938542535932
DJI_0337	252372.29750000	6149589.35780000	47.40790000	-0.892021268247896	0.451890180904652	0.009660299963090	0.442776312359828	0.877925616045783	-0.182197008492632	-0.090814063924305	-0.158246254592623	-0.983214589345052
DJI_0628	252408.26720000	6149598.38350000	47.29860000	0.410408373174627	0.911892741869440	-0.004073641367509	0.898024156076175	-0.404934964810069	-0.171989212969715	-0.158485274810721	0.066927584747271	-0.985090410098518
DJI_0629	252403.60000000	6149600.63190000	47.11150000	0.413707139219537	0.910404536367899	-0.003159607497434	0.896000436751628	-0.407771731935451	-0.175799408347284	-0.161336977471625	0.069898460606177	-0.984420938879912
DJI_0630	252398.71570000	6149602.99040000	46.99300000	0.417058614210116	0.908875337796576	-0.002780765775335	0.893870259604600	-0.410723077714400	-0.179728997179687	-0.164493377701176	0.072471882671636	-0.983712231760125
DJI_0631	252393.89610000	6149605.33650000	47.11670000	0.420569055557644	0.907255831994455	-0.002919729336792	0.891797481642052	-0.413990502877954	-0.182507849868857	-0.166790051394694	0.074153346781574	-0.983200060982935
DJI_0632	252389.51160000	6149607.54970000	47.26200000	0.422203999977945	0.906498898552463	-0.001878649992732	0.890309846263430	-0.415052069424513	-0.187296976251133	-0.170564240241066	0.077404951970791	-0.982301538918364
DJI_0633	252384.91030000	6149609.84150000	47.41970000	0.422880349369176	0.906184638585857	0.001269215672950	0.889564030305891	-0.414856328374288	-0.191233006548937	-0.172765870771239	0.081997729229689	-0.981543848382654
DJI_0634	252380.25780000	6149612.01770000	47.57290000	0.423982283167402	0.905669271220557	0.001481461096798	0.888445819200046	-0.415600635330420	-0.194782284253240	-0.175792633253261	0.083900435516009	-0.980845383847071
DJI_0658	252373.45870000	6149601.52270000	47.25200000	-0.438796490338438	-0.898111515442294	-0.029212084770107	-0.883989428638600	0.437276107984100	-0.165385293909339	0.161308183679160	-0.046747312395740	-0.985796306881856
DJI_0659	252378.39110000	6149599.18390000	47.08780000	-0.439447150749067	-0.897797019534730	-0.029098340383643	-0.882930607744805	0.437677604194189	-0.169917205409646	0.165286852489590	-0.048977816421218	-0.985028644199088
DJI_0660	252382.88120000	6149596.98920000	46.98110000	-0.440269907277852	-0.897422588705769	-0.028197624477735	-0.881899827918931	0.438123913810850	-0.174069324303917	0.168567797227439	-0.051770005096566	-0.984329601459892
DJI_0661	252387.60470000	6149594.69970000	46.91130000	-0.440326210724399	-0.897404638179264	-0.027888053417844	-0.881115673680709	0.437883580138059	-0.178586505200327	0.172476078756686	-0.054063718146466	-0.983528909914140
DJI_0662	252392.14780000	6149592.54780000	46.98430000	-0.440698715238872	-0.897230870899489	-0.027593598745942	-0.880301860110232	0.437990073298080	-0.182300111845297	0.175651010453323	-0.056048728774937	-0.982855667190987
DJI_0663	252396.77030000	6149590.31250000	47.16760000	-0.440978863205934	-0.897074353473321	-0.028200116064029	-0.879277470182327	0.438105921500107	-0.186907281763736	0.180024366782301	-0.057626433925456	-0.981972719314374
DJI_0664	252401.27740000	6149588.09280000	47.37190000	-0.440742088264742	-0.897179100493919	-0.028566996148636	-0.878616417240129	0.437702141943251	-0.190918899783151	0.183792282177879	-0.059046562772206	-0.981190042976709
DJI_0674	252397.58220000	6149576.74060000	47.64490000	0.401345452777333	0.915754005026818	-0.017788474141979	0.900984001356593	-0.398217106753934	-0.172194556208929	-0.164771529198528	0.053082371516996	-0.984902332721225
DJI_0675	252392.95620000	6149579.01650000	47.55420000	0.403934814132311	0.914620585332521	-0.017488591077919	0.899479292110279	-0.400585413802701	-0.174551795502970	-0.166654339867543	0.054776921550181	-0.984492671312894
DJI_0676	252388.35110000	6149581.29400000	47.40040000	0.407005648761085	0.913262454319512	-0.017265323827535	0.897402683268312	-0.403319507331428	-0.178890466679384	-0.170337388554017	0.057315482517690	-0.983717494773963
DJI_0677	252383.73130000	6149583.62360000	47.25090000	0.409229041271114	0.912266624693037	-0.017355035335558	0.895731052811561	-0.405288578052936	-0.182775954460431	-0.173774200643872	0.059251784538554	-0.983001400415879
DJI_0678	252378.98980000	6149585.99220000	47.17300000	0.411451176634017	0.911274584742169	-0.016928096451483	0.893997066893004	-0.407126342188810	-0.187129329295716	-0.177418075835545	0.061860914145749	-0.982189418425929
DJI_0679	252374.40080000	6149588.21440000	47.13900000	0.412900806426740	0.910624273263640	-0.016623988547140	0.892410526484457	-0.408154390318663	-0.192388788351438	-0.181979054486723	0.064602063486147	-0.981177964041921
